ID	DOI	edited	metalanguage	objectlanguage	license	superseded	pages	series	seriesnumber	creators	title
16	10.17169/FUDOCS_document_000000020994		eng	ital1282	CC-BY	False		Studies in Laboratory Phonology	1	Cangemi, Francesco	Prosodic detail in Neapolitan Italian
17	10.17169/FUDOCS_document_000000020749		eng	pite1240	CC-BY	False		Studies in Diversity Linguistics	5	Wilbur, Joshua	A grammar of Pite Saami
18	10.17169/FUDOCS_document_000000019858		eng		CC-BY	False		Studies in Diversity Linguistics	1	Handschuh, Corinna	A typology of marked-S languages
19	10.17169/langsci.b19.294		eng		CC-BY	False		Studies in Diversity Linguistics	2	Rießler, Michael	Adjective attribution
20	10.17169/langsci.b20.102		eng		CC-BY	False		Empirically Oriented Theoretical Morphology and Syntax	1	Lichte, Timm	Syntax und Valenz: Zur Modellierung kohärenter und elliptischer Strukturen mit Baumadjunktionsgrammatiken
22	10.17169/FUDOCS_document_000000020993		eng		CC-BY	True		Studies in Diversity Linguistics	3	Klamer, Marian	The Alor-Pantar languages: History and typology
25	10.17169/langsci.b25.62		eng		CC-BY	True		Textbooks in Language Sciences	1	Müller, Stefan	Grammatical theory: From transformational grammar to constraint-based approaches
27	10.5281/zenodo.573753		fra		CC-BY	False		Empirically Oriented Theoretical Morphology and Syntax	2	Bîlbîie, Gabriela	Grammaire des constructions elliptiques: Une étude comparative des phrases sans verbe en roumain et en français
46	10.17169/FUDOCS_document_000000022241		eng		CC-BY	True		Textbooks in Language Sciences	2	Schäfer, Roland	Einführung in die grammatische Beschreibung des Deutschen
48	10.17169/FUDOCS_document_000000021399		eng		CC-BY	False		Conceptual Foundations of Language Science	1	Enfield, N.J.	Natural causes of language: Frames, biases, and cultural transmission
49	10.17169/FUDOCS_document_000000022455		eng		CC-BY	False		Computational Models of Language Evolution	1	Steels, Luc L.	The Talking Heads experiment: Origins of words and meanings
50	10.17169/langsci.b50.113		eng		CC-BY	False		Computational Models of Language Evolution	2	Vogt, Paul	How mobile robots can self-organise a vocabulary
51	10.17169/langsci.b51.104		eng		CC-BY	False		Computational Models of Language Evolution	3	Bleys, Joris	Language strategies for the domain of colour
52	10.17169/langsci.b52.182		eng		CC-BY	False		Computational Models of Language Evolution	4	van Trijp, Remi	The evolution of case grammar
53	10.17169/langsci.b53.183		eng		CC-BY	False		Computational Models of Language Evolution	5	Spranger, Michael	The evolution of grounded spatial language
66	10.17169/langsci.b66.106		eng	yakk1236	CC-BY	False		Studies in Diversity Linguistics	7	Schackow, Diana	A grammar of Yakkha
67	10.17169/langsci.b67.96		eng	mauw1238	CC-BY	False		Studies in Diversity Linguistics	4	Berghäll, Liisa	A grammar of Mauwake
73	10.17169/langsci.b73.17		eng		CC-BY	False		Studies in Diversity Linguistics	6	Dahl, Östen	Grammaticalization in the North: Noun phrase morphosyntax in Scandinavian vernaculars
74	10.5281/zenodo.344813		eng		CC-BY	False		African Language Grammars and Dictionaries	2	Brindle, Jonathan	A dictionary and grammatical outline of Chakali
75	10.17169/langsci.b75.22		eng		CC-BY	False		Studies in Laboratory Phonology	2	Drager, Katie K.	Linguistic variation, identity construction and cognition
